PRD_NBR,CST_AMT
104503251,9.01
105974001,7.08
105974011,7.08
106179001,6.57
106739001,0.47
106739011,0.47
106739021,0.47
107097001,4.64
107206011,4.93
107214001,4.91
107218001,4.91
114595001,0.21
114595011,0.21
114595021,0.21
114595031,0.21
117893001,2.53
117894001,1.21
117895001,1.85
117975011,3.49
118121031,4.17
118121081,4.17
118121141,4.16
118121151,4.16
118121161,4.16
118121191,4.18
118121251,4.18
118317001,1.90
119052021,9.02
119052041,9.03
119052071,9.01
119052101,8.75
119052111,9.02
119052141,9.18
119052151,8.42
119052161,8.42
119063091,3.75
119064061,3.73
119084001,3.57
119084011,4.35
119094011,4.03
119094021,4.04
119094071,4.07
119094101,4.01
119094111,4.01
119132001,9.69
119132021,9.70
119132051,9.66
119132061,9.58
119301021,10.27
119307021,9.08
119346021,7.18
119383011,12.12
119386091,9.55
119386101,9.49
119386111,9.49
119386121,9.45
119387021,10.47
119387091,10.38
119387101,9.94
119387111,10.79
119474001,3.25
119482001,3.31
119487091,6.59
119487101,6.59
119487111,6.59
119487121,6.59
119487131,6.59
119487141,7.06
119487151,7.06
119487161,6.60
119487171,6.59
119513001,4.22
119513021,4.22
119513031,4.22
119515001,4.48
119515011,4.48
119515021,4.48
119550001,5.68
119550011,5.66
119551001,5.45
119551011,5.46
119551051,5.79
119564001,1.42
119564011,1.38
119564021,1.31
119570101,4.36
119570111,4.43
119570121,4.09
119570131,3.69
119570141,4.55
119570151,4.71
119570161,4.37
119570171,4.09
119570181,3.71
119570191,3.71
119571001,6.20
119571091,6.69
119571111,6.14
119571121,6.55
119590001,13.27
119601001,4.02
119601101,4.17
119601111,4.03
119601131,4.15
119601141,4.39
119601151,4.22
119601161,4.71
119601171,3.84
119601181,4.25
119601191,5.10
119601201,3.84
119601211,5.00
119601221,4.95
119601231,3.88
119601241,4.26
119601261,4.26
119601271,4.40
119612001,6.71
119729001,10.14
119730001,12.44
119757001,13.62
119792051,11.48
119792061,11.56
119792081,12.57
119792101,11.18
119794011,9.48
119794101,9.69
119794151,9.41
119794171,10.08
119794191,9.61
119794231,9.36
119794261,9.17
119794271,9.17
119794281,9.18
119794291,9.17
119794301,9.18
119795001,10.56
119795011,10.54
119795031,10.47
119795071,10.56
119795081,10.55
119795091,10.25
119795101,10.15
119795111,10.25
119881001,8.23
119881021,7.87
120536001,4.84
120549001,4.84
120556001,4.87
121354001,5.54
121811001,5.04
121811011,4.99
121811021,5.00
121811041,5.49
121811111,5.01
121909011,5.68
122019001,8.66
122019011,10.62
122019051,8.03
122088001,1.17
122088031,1.16
122088041,1.16
122088051,1.17
122088101,1.15
122088111,1.15
122088141,1.15
122157001,4.84
122186001,7.35
122186011,7.38
122186021,7.31
122186191,7.24
122186201,7.26
122186211,7.31
122186221,7.27
122186231,7.25
122186241,7.24
122186251,8.11
122186261,7.25
122186271,7.26
122186281,8.17
122186291,7.26
122186301,7.25
122186311,7.25
122186321,7.25
122186331,7.26
122186341,7.26
122186351,7.26
122186371,7.26
122186381,7.20
122186391,7.26
122186401,7.26
122186411,7.26
122186421,7.26
122186431,7.26
122186461,8.22
122186471,7.08
122186481,7.08
122186551,7.07
122264101,1.23
122264111,1.21
122335001,10.00
122335011,11.23
122335021,11.20
122354011,10.41
122610001,8.17
122750001,3.13
122750011,3.13
122759001,1.78
122759011,1.78
122772001,2.81
122772011,2.94
122772021,2.81
122772071,2.50
122775001,3.01
123001001,6.77
123001011,8.64
123035011,5.49
123066001,2.88
123196001,5.87
123196011,5.87
123226011,4.30
123226031,4.25
123243011,1.95
123243091,1.95
123243251,2.23
123243261,1.96
123243271,2.42
123243301,2.23
123243311,1.95
123243321,1.96
123243331,1.95
123243341,2.23
123243351,2.23
123243371,2.57
123243401,2.23
123243411,2.23
123243431,1.94
123243441,2.23
123243471,1.82
123243481,1.82
123243491,1.94
123243521,2.17
123243601,1.82
123243611,2.35
123279011,3.12
123279041,3.12
123279061,3.06
123279101,3.08
123279111,2.98
123279121,2.98
123279131,2.98
123279161,2.98
123279171,2.98
123279181,2.98
123279191,2.98
123279201,2.98
123279211,2.98
123279221,2.98
123507001,2.00
123507011,2.00
123507021,2.00
123507031,2.00
123507041,2.00
123507051,2.00
123552001,4.04
123761021,6.49
123761031,6.27
123761041,6.22
123761051,6.21
123762001,11.24
123762011,11.07
123762031,11.38
123762061,12.99
123786081,5.17
123786091,4.58
123786101,4.57
123786111,4.75
123786121,4.93
123786131,4.91
123786141,4.93
123789001,2.44
123789011,2.44
123789021,2.44
123789041,2.33
123789051,2.33
123789061,2.33
135824001,3.54
135824011,3.53
135824041,3.42
135824061,3.64
135826001,3.04
135826011,3.04
135826041,2.94
135826061,3.14
135829001,3.80
135829021,3.81
135829041,3.69
135829061,3.93
135830001,6.09
135830021,6.09
135830051,6.23
135830061,6.23
135830091,5.78
138856001,2.06
138856011,2.06
138856031,2.22
138856041,2.16
139942001,3.01
139942011,3.34
139946001,2.99
139946011,2.99
140645011,1.08
140818001,13.27
141019001,15.44
143846051,5.71
143846081,5.15
143846101,5.10
143846111,4.97
143846141,5.46
143846151,4.85
143846161,4.99
144007001,8.35
144007031,8.49
144007051,9.04
144007061,10.98
144036021,1.92
144036071,2.29
144036081,2.27
144036111,2.33
144036121,2.33
144036131,2.27
144036141,2.27
144036151,2.30
144036161,2.27
144038041,2.06
144038101,2.03
144038111,2.03
144038121,2.09
144038151,2.03
144038161,2.49
144038181,2.03
144038191,2.10
144038201,2.03
144038211,2.03
144038221,2.03
144038231,2.03
144038241,1.97
144038251,1.97
144038261,1.97
144038271,1.97
144038281,1.97
144038291,1.97
144038301,1.97
144038311,1.97
144038321,2.20
144038341,2.20
144038351,1.97
144038361,1.97
144038371,1.97
144038381,1.97
144188011,2.82
144469001,4.89
144469011,4.29
144469021,4.28
144469031,4.28
144469041,4.31
144480001,4.28
144480011,4.27
144480021,4.25
144480031,4.27
144480041,4.27
144480051,4.27
144480061,4.57
144556001,12.97
144556011,12.98
144556021,12.99
144572011,8.13
144574001,10.56
144592121,4.12
144592131,4.11
144592151,4.26
144629001,3.65
144629041,3.75
144629091,3.43
144629121,4.07
144629131,3.57
144629141,3.42
144629151,3.57
144629161,4.07
144629181,3.56
144629191,4.02
144629201,4.02
144901001,3.93
144910041,5.07
144910051,5.05
144910061,5.25
144910071,5.25
144920001,13.21
144920011,13.21
144920021,13.21
145076001,6.09
145080001,5.63
145177021,3.20
145177031,2.90
145177041,2.89
145177051,3.20
145178041,7.54
145178051,7.54
145178061,7.54
145178071,7.54
145179001,8.13
145179011,8.13
145183051,4.02
145183061,4.02
145183071,4.35
145183081,4.17
145183091,4.20
145183101,4.02
145183111,4.74
145183121,4.75
145183131,4.03
145183141,4.24
145209001,8.42
145209011,8.42
145328011,7.17
145328031,7.18
145548001,4.81
145688081,7.55
145688131,7.84
145688141,6.83
145688151,7.66
145688171,7.66
145688181,6.83
145704001,0.44
145704011,0.44
145704021,0.44
145704041,0.44
145704051,0.44
145704061,0.44
145705001,0.44
145705011,0.44
145705021,0.44
145705031,0.44
145705041,0.44
145705051,0.44
145705061,0.44
145705071,0.44
145705081,0.44
145705091,0.44
145705101,0.44
145705111,0.44
145706001,2.54
145706011,2.54
145706021,2.54
145706031,2.54
145720011,0.65
145720021,0.65
145720031,0.65
145720041,0.65
145859001,13.86
145862001,12.59
145912011,9.66
145912021,9.40
145963001,9.05
145963031,9.11
145969001,4.48
145969011,4.79
145969021,5.07
145969031,5.18
145969041,4.40
145969051,5.19
146402001,6.81
146402021,6.81
146402031,6.94
146462011,3.62
146462021,3.19
146462031,3.19
146468001,8.26
146468021,7.42
146527021,5.36
146527031,5.12
146527041,5.23
146527051,5.23
146527061,5.09
146552001,12.57
146562051,8.87
146801021,9.38
146801031,9.42
146801041,9.35
146801061,9.42
146801071,9.40
146801081,10.40
146806001,2.22
146806011,2.21
146806021,2.21
146806031,2.22
146806041,2.21
146806051,2.22
146806061,2.22
146806071,2.23
146806081,2.05
146806091,2.22
146806101,2.06
146806111,2.20
146806121,2.26
146806131,2.26
146806141,2.22
146806151,2.26
146806161,2.19
146806171,2.26
146806181,2.20
146806191,2.21
146806201,2.20
146806211,2.20
146806221,2.20
146811001,1.53
146811011,1.53
146811021,1.53
146811031,1.53
146811041,1.53
146811061,1.53
146811071,1.53
146813011,3.03
146813041,2.94
146813051,2.94
146813061,3.02
146813101,3.32
146813111,3.32
146813121,3.32
146813131,3.32
146813141,3.33
146813151,3.33
146813161,3.33
146813171,3.33
146820001,2.17
146820011,2.08
146820021,2.28
146820031,2.21
146820041,2.14
146820051,2.27
146820061,2.27
146856011,7.30
146856041,7.31
146856051,7.23
146856061,7.23
146923011,10.69
146923021,10.70
146923031,10.69
146923041,10.72
146971001,1.95
146971011,1.91
146971021,1.95
146971031,1.91
146971041,1.95
146971051,1.95
146971061,1.96
146971071,1.95
146971081,1.91
146971091,1.91
146971121,2.04
146971131,1.99
146971141,1.99
146971151,2.09
146971161,2.13
146971171,2.13
146971181,2.13
146971191,2.13
147005011,6.59
147005021,6.59
147005031,6.59
147032001,1.76
147032011,1.69
147032021,1.97
147032031,1.69
147032081,2.28
147032091,2.31
147032101,2.28
147064011,4.76
147064021,4.77
147064031,4.76
147064041,4.76
147064051,4.75
147064061,4.75
147064071,4.75
147096041,3.44
147096051,3.34
147096061,3.34
147096071,3.49
147096081,3.48
147096091,3.49
147107001,4.14
147107031,5.15
147107041,5.90
147107051,5.79
147107061,5.86
147107071,5.96
147107081,5.36
147107091,5.41
147107101,5.44
147107111,4.49
147107121,4.69
147107131,4.69
147107141,4.49
147107151,4.49
147123031,4.09
147123041,4.01
147123051,4.00
147139001,3.63
147148041,5.03
147148051,5.03
147148061,5.03
147156011,4.69
147156021,4.65
147156031,4.64
147205001,3.94
147211021,2.70
147211031,2.70
147286001,7.74
147286011,7.74
147286021,7.74
147286031,7.74
147472001,4.78
147472021,4.78
147474021,4.60
147474031,4.71
147474041,4.26
147474051,4.55
147474061,4.75
147476011,2.40
147476021,2.40
147476031,2.40
147476041,2.39
147479011,3.25
147479021,3.26
147479031,3.24
147552001,6.87
147552011,6.87
147552021,6.87
147813001,6.43
147813021,6.64
147895021,13.71
147895061,12.44
147930001,5.10
147930011,5.10
147930041,5.10
147930051,5.10
147930061,5.10
147930071,5.10
147955011,7.73
147955021,7.73
147955031,7.73
147968011,5.29
147968021,5.29
147968031,5.29
148013001,6.67
148025001,11.97
148025011,10.90
148034001,13.05
148037001,15.60
148037021,14.69
148073001,1.07
148073021,0.96
148073031,0.96
148073041,0.96
148073051,1.07
148073081,0.96
148077001,1.86
148077011,1.86
148077021,1.86
148077031,1.86
148077041,1.86
148077051,1.86
148077061,1.96
148077071,1.96
148089001,2.70
148089051,1.92
148089061,2.72
148089101,2.72
148089111,2.31
148089121,2.25
148089131,2.87
148089141,2.29
148089151,3.12
148089161,2.52
148089181,2.26
148089191,2.25
148089201,2.49
148089231,2.17
148089241,2.26
148089251,2.26
148090031,2.27
148090051,2.06
148090091,2.03
148090131,2.03
148090151,2.03
148090161,2.03
148090171,2.01
148090181,2.03
148090191,2.01
148090201,2.03
148090211,2.26
148090221,2.03
148090231,2.03
148090241,2.03
148090251,1.97
148090261,1.97
148090271,1.98
148090281,1.97
148090301,2.00
148090311,1.97
148090321,1.98
148090331,1.97
148090341,1.97
148090351,1.97
148090361,1.97
148090391,1.97
148090401,1.97
148090411,1.97
148090421,1.97
148096001,2.07
148096011,2.06
148096021,2.19
148096031,2.05
148096041,2.11
148096051,2.10
148167011,2.84
148167021,2.90
148167031,2.89
148174001,5.73
148186001,4.78
148195001,3.96
148195011,3.96
148195021,3.96
148216001,4.15
148216011,4.04
148257011,2.78
148257021,2.75
148257031,3.28
148257041,3.21
148274001,4.06
148822011,1.27
148822021,1.37
148822031,1.33
148822041,1.33
148822051,1.33
148822061,1.28
148822071,1.27
148822081,1.27
148822091,1.27
148822101,1.27
148824001,1.61
148824091,1.64
148824101,1.64
148824111,1.75
148824121,1.75
148824131,1.64
148824151,1.64
148824161,1.61
148824171,1.61
148824181,1.61
148824191,1.61
148824201,1.49
148824211,1.75
148824221,1.61
148824231,1.61
148824241,1.61
148824251,1.58
148824261,1.58
148824271,1.49
148824281,1.61
148824291,1.49
148824301,1.61
148824311,1.61
148824321,1.49
148824331,1.61
148824341,1.74
148824351,1.61
148824361,1.89
148824371,1.61
148824381,1.49
148824391,1.61
148824401,1.76
148824411,1.61
148824421,1.61
148824431,1.61
148824441,1.49
149231001,15.17
155448151,2.73
155448201,2.74
155448281,3.17
155448301,2.74
155448311,2.74
155448321,2.74
155448331,2.74
155448341,2.74
155448351,2.74
155448391,2.74
155448411,2.74
155448421,2.86
155448431,2.73
155448461,2.74
155448471,2.74
169515001,5.32
169515011,5.50
169515021,5.30
169649001,8.20
169649011,8.20
169701001,5.64
169701011,5.92
169846001,1.71
169846011,1.71
169846021,1.63
169851011,3.26
169852011,3.28
169891001,13.59
169891011,14.19
169891021,13.49
169895001,14.17
169901011,11.42
169919241,6.62
169919251,6.82
169951001,5.44
169951051,5.19
169951091,5.19
169951121,5.62
169951131,5.62
169981001,2.43
169981011,2.43
169981021,2.43
169981071,2.43
169981081,2.43
169981101,2.43
169981111,2.43
170053011,4.61
170053031,4.29
170053041,4.31
170053081,4.26
170053091,4.26
170053101,4.24
170053111,4.10
170053121,4.77
170054011,4.29
170054031,4.26
170054041,4.20
170054051,4.20
170054061,4.26
170054071,4.21
170054081,4.59
170054091,4.24
170054101,4.10
170057001,4.89
170072001,2.42
170072011,2.28
170072021,2.28
170072031,2.26
170072041,2.33
170072051,2.26
170072071,2.41
170092001,9.10
170093001,7.99
170096001,8.68
170096011,8.66
170097001,4.27
170119001,4.27
170135001,5.33
170274001,11.64
170274021,11.66
170315001,8.58
170315011,9.19
170315021,8.49
170335001,5.54
170337001,4.46
170346011,15.29
170346021,15.30
170385001,10.52
170385011,9.39
170385051,9.39
170455001,3.11
170455011,3.09
170455021,3.40
170490001,9.59
170490011,9.59
170490051,9.59
170490061,9.59
170492001,3.29
170492011,3.31
170492121,3.24
170492141,3.24
170492151,3.17
170493001,4.80
170494101,5.03
170494121,5.37
170494151,5.04
170494171,5.03
170494191,4.90
170494201,4.90
170494211,4.90
170494241,4.89
170505001,12.26
170505011,11.83
170509001,11.02
170529001,5.28
170529021,5.30
170529041,5.28
170529051,5.30
170529071,4.75
170529081,5.27
170533001,3.85
170533011,3.86
170533031,3.74
170545001,1.24
170545011,1.24
170545021,1.25
170545031,1.24
170545041,1.23
170545051,1.23
170549031,7.01
170549041,6.73
170549051,7.15
170549071,6.33
170549081,8.90
170551001,4.35
170564001,6.22
170564011,6.10
170607001,10.05
170649001,1.83
170649011,1.82
170649021,2.09
170649031,1.83
170649041,1.83
170649051,2.30
170650001,2.19
170650011,2.54
170650021,2.19
170650031,2.23
170650051,2.23
170650061,2.23
170650071,2.23
170650081,2.19
170650091,2.19
170650101,2.23
170651001,7.17
170651011,7.14
170654001,12.24
170662001,4.64
170694041,10.48
170694051,9.26
170749001,15.02
170749011,15.26
170749031,14.14
170751001,16.30
170751021,15.63
170799001,3.38
170799011,3.38
170799021,3.38
170799031,3.60
170803001,3.29
170803111,3.43
170803121,3.41
170803131,3.50
170803151,3.50
170803221,3.16
170803241,3.28
170803251,3.49
170803271,3.49
170803291,3.29
170803301,3.29
170803311,3.50
170895001,1.08
170895011,1.10
170895021,1.10
170895031,1.08
170895041,1.08
170895051,1.10
170947001,3.30
170947021,3.30
170960001,13.54
171296001,9.94
171296011,8.53
171361011,7.80
171361021,7.71
171380001,5.76
171384001,3.91
171384021,3.93
171384041,3.91
171384051,3.94
171384071,3.18
171384081,3.18
171384091,3.91
171384101,3.89
171384171,3.89
171482001,3.22
171482011,3.21
171482021,3.20
171482031,3.39
171482041,3.44
171533001,1.38
171533011,1.38
171533021,1.50
171533031,1.32
171533041,1.36
171533051,1.39
171540001,1.39
171540011,1.37
171540021,1.33
171540031,1.31
171540041,1.39
171540051,1.39
171543001,1.50
171543011,1.49
171543021,1.50
171543031,1.50
171543041,1.50
171543051,1.50
171543061,1.47
171543071,1.47
171543081,1.56
171543091,1.56
171543101,1.56
171543111,1.56
171543121,1.56
171544001,1.49
171544011,1.49
171544021,1.50
171544031,1.50
171544041,1.50
171544051,1.50
171544061,1.43
171544071,1.42
171544081,1.37
171544091,1.37
171544101,1.37
171544111,1.37
171544121,1.37
171647001,3.86
171647011,3.62
171647021,3.80
171647041,3.78
171647051,3.72
171647071,3.73
171723001,4.06
171724001,6.66
171724011,6.66
171724021,6.70
171724051,8.10
171724061,7.74
