PERIOD,PRD_NBR,DC_NBR,warehouse_receipts
4,118121031,14,3556
1,118121031,17,1528
4,118121031,17,11615
1,118121031,18,796
1,118121031,14,0
3,118121031,14,4882
4,118121031,18,6721
1,118121081,18,0
4,118121081,18,6704
1,118121081,17,0
4,118121081,14,6612
4,118121081,17,10384
1,118121081,14,514
1,118121141,18,408
1,118121141,17,468
1,118121141,14,164
4,118121141,17,8007
4,118121141,18,6326
4,118121141,14,3867
1,118121161,18,0
1,118121191,14,640
1,118121191,17,852
1,118121191,18,868
1,118121251,17,42
1,118121251,14,78
1,118121251,18,98
1,119052021,18,6
1,119052021,17,0
1,119052041,18,86
1,119052041,17,46
1,119052041,14,0
4,119052141,18,4084
1,119052141,14,1406
4,119052141,17,5882
1,119052141,18,674
4,119052141,14,2384
1,119052141,17,3784
3,119084001,18,498
4,119084001,14,630
4,119084001,18,990
1,119084001,18,35
1,119084001,17,26
4,119084001,17,1380
3,119084001,17,688
1,119084001,14,0
1,119084011,14,1221
1,119084011,18,47
2,119084011,14,16
3,119084011,17,4046
1,119084011,17,0
3,119084011,18,2894
3,119094011,14,400
1,119094011,14,629
3,119094011,18,3425
1,119094011,17,18
2,119094011,14,44
2,119094011,18,46
1,119094011,18,0
2,119094011,17,64
3,119094011,17,4975
1,119094021,18,20
1,119094021,17,2
3,119094021,17,3612
2,119094021,17,42
1,119094021,14,404
2,119094021,14,32
3,119094021,18,2469
2,119094021,18,28
1,119132001,17,0
1,119132051,18,0
1,119132051,17,0
1,119132061,17,236
1,119132061,18,76
1,119132061,14,42
1,119387091,18,319
1,119387091,17,0
1,119387091,14,0
1,119487091,14,2636
1,119487091,17,314
1,119487101,17,0
1,119487101,14,316
1,119487111,14,1512
1,119487111,17,28
1,119487121,17,0
1,119487121,14,3294
1,119487131,14,1136
1,119487131,17,0
1,119487161,17,26
1,119487161,14,496
2,119487161,14,32
1,119487171,14,632
1,119487171,17,118
2,119487171,14,42
1,119550001,17,26278
2,119550001,17,779
4,119550001,14,575
4,119550001,17,1555
1,119550001,14,17591
4,119550011,14,1042
2,119550011,17,997
1,119550011,17,10784
1,119550011,14,9146
4,119550011,17,1538
2,119551001,17,2218
1,119551001,17,3608
4,119551001,17,1997
1,119551001,14,3378
4,119551001,14,1353
1,119551011,14,7968
4,119551011,17,3935
1,119551011,17,12047
2,119551011,17,3088
4,119551011,14,2225
1,119570131,17,0
1,119570131,18,0
1,119570141,17,0
1,119570141,18,0
1,119570151,18,21
1,119570151,14,111
1,119570151,17,0
1,119570161,14,0
1,119570161,17,0
1,119570161,18,0
4,119571091,14,220
1,119571091,18,59
1,119571091,14,12
1,119571091,17,222
2,119571091,17,524
1,119571121,14,0
1,119571121,17,0
4,119590001,18,5400
1,119590001,18,0
1,119590001,17,0
4,119590001,14,3100
1,119590001,14,0
3,119590001,14,2480
4,119590001,17,7020
1,119601001,14,0
3,119601001,14,944
3,119601001,18,765
1,119601001,17,0
1,119601001,18,0
4,119601001,17,10940
4,119601001,14,6748
3,119601001,17,1341
4,119601001,18,9812
3,119601181,14,2817
1,119601181,17,127
4,119601181,17,6395
1,119601181,14,8000
1,119601181,18,966
4,119601181,18,4588
1,119601191,17,0
1,119601191,18,0
1,119601191,14,0
1,119601211,17,0
1,119601211,18,10
1,119601211,14,0
1,119601221,17,1
1,119601221,14,3
1,119601221,18,28
3,119601271,14,390
1,119601271,14,11938
1,119601271,17,188
1,119601271,18,952
4,119601271,18,484
4,119601271,17,826
1,119729001,17,0
1,119729001,18,0
1,119757001,18,490
1,119757001,17,540
1,119757001,14,194
1,119792051,17,482
1,119792051,14,240
4,119792051,18,1145
1,119792051,18,88
4,119792051,14,736
4,119792051,17,1619
1,119792061,14,138
4,119792061,17,2642
4,119792061,18,2574
4,119792061,14,1284
1,119792061,17,410
1,119792061,18,84
1,119792101,17,12
1,119792101,18,16
1,119794011,14,500
4,119794011,14,4684
1,119794011,18,2642
4,119794011,18,6784
1,119794011,17,1426
4,119794011,17,9487
1,119794101,18,212
1,119794101,14,272
1,119794101,17,112
1,119794191,17,6
1,119794191,18,0
1,119794191,14,0
1,119795001,17,440
1,119795001,18,420
4,119795001,17,8406
4,119795001,18,7037
4,119795001,14,3670
1,119795001,14,274
4,119795011,14,892
4,119795011,17,1291
1,119795011,17,462
1,119795011,18,640
1,119795011,14,292
4,119795011,18,1317
1,119795081,18,0
1,119795081,17,0
1,120536001,14,24
4,120536001,17,4342
4,120536001,18,3155
1,120536001,17,20
4,120536001,14,2453
1,120536001,18,36
4,120549001,18,6246
4,120549001,14,6820
1,120549001,18,24
1,120549001,14,34
4,120549001,17,12534
1,120549001,17,8
1,120556001,18,82
2,120556001,18,1572
1,120556001,14,64
4,120556001,14,6380
2,120556001,17,2298
2,120556001,14,1260
4,120556001,18,8408
1,120556001,17,286
4,120556001,17,11812
1,121354001,18,628
1,121354001,17,808
4,121354001,14,269
4,121354001,18,435
4,121354001,17,485
1,121354001,14,696
1,121811001,18,104
1,121811001,17,222
4,121811011,17,6658
1,121811011,14,332
1,121811011,18,512
2,121811011,14,16
4,121811011,14,3884
4,121811011,18,8458
1,121811011,17,696
4,121811021,18,4622
4,121811021,14,3079
4,121811021,17,4299
1,121811021,14,1310
1,121811021,18,1300
1,121811021,17,1468
1,121811041,18,204
1,121811041,17,336
4,121811041,17,2683
4,121811041,18,3357
4,121811041,14,1960
1,121811041,14,222
1,121909011,18,20
4,121909011,14,66
1,121909011,14,92
4,121909011,17,135
4,121909011,18,76
1,121909011,17,106
1,122019001,18,0
4,122157001,14,6051
1,122157001,18,400
1,122157001,14,231
4,122157001,17,10578
4,122157001,18,7471
1,122157001,17,360
1,122186001,18,6984
1,122186001,14,5832
1,122186001,17,5394
1,122186011,17,1119
4,122186011,14,1821
4,122186011,18,2552
99,122186011,17,345
2,122186011,17,92
99,122186011,18,557
99,122186011,14,341
1,122186011,18,2978
2,122186011,14,45
1,122186011,14,2042
4,122186011,17,3945
2,122186011,18,141
3,122186021,18,3721
4,122186021,18,5128
1,122186021,18,500
4,122186021,17,7436
2,122186021,17,5116
4,122186021,14,4524
1,122186021,17,0
2,122186021,14,3163
1,122186231,18,2244
1,122186231,14,1138
1,122186231,17,1958
1,122186241,18,394
1,122186241,17,324
1,122186241,14,139
1,122186251,14,375
1,122186251,17,716
1,122186251,18,749
1,122186261,14,128
1,122186261,18,407
1,122186261,17,426
2,122186271,14,53
1,122186271,17,618
2,122186271,17,110
1,122186271,18,678
1,122186271,14,585
2,122186271,18,81
1,122186281,18,582
1,122186281,14,352
1,122186281,17,778
1,122186291,18,0
1,122186301,17,1572
1,122186301,18,1461
1,122186301,14,637
