PGM_GRP_ID_S,PRD_NBR,PRC_STR_GRP_ID_S,ELAS_IDX_RAT
68675,118121251,700,-1.5378
68675,118121251,681,-1.43738
68675,118121251,733,-1.39957
70533,119052021,700,-1.14974
70533,119052041,680,-1.08955
70533,119052041,681,-1.12453
70533,119052041,713,-1.13413
70533,119052141,700,-1.14974
70533,119052141,678,-1.13101
68648,119570141,705,-1.4288
68648,119570151,688,-1.6624
68648,119570161,718,-1.6624
70533,119052141,693,-1.11589
70533,119052141,733,-1.11504
38887,119084001,668,-1.2795
38887,119084011,668,-1.2795
38888,119094021,671,-1.2795
38888,119094021,675,-1.2795
69098,119132021,700,-1.17521
69098,119132021,680,-1.61565
69098,119132061,664,-1.60842
69098,119132061,672,-1.6548
69098,119132061,694,-1.57317
69041,119387091,664,-1.60842
5000068,119487091,678,-1.37151
5000068,119487121,713,-1.34603
70332,119550001,718,-1.0301
70332,119550001,735,-1.0301
70331,119551011,735,-1.0301
68648,119570131,682,-1.4288
68648,119570131,703,-1.4288
68648,119570131,705,-1.4288
68675,118121081,680,-1.29801
68675,118121081,713,-1.47563
68675,118121141,693,-1.40295
68675,118121151,687,-1.28243
68675,118121161,672,-1.2767
68675,118121161,681,-1.43738
68675,118121161,731,-1.2767
68675,118121191,681,-1.43738
68675,118121191,686,-1.32953
71584,123762011,705,-1.0794
71584,123762011,708,-1.0794
71584,123762011,736,-1.0794
71584,123762011,737,-1.08587
1513,144038351,711,-1.60459
492,144469001,730,-1.02958
70534,119794191,693,-1.11589
70858,119795001,664,-1.09054
70858,119795001,694,-1.09536
70858,119795011,700,-1.14974
69694,122186341,733,-0.99305
71584,123762031,718,-1.0794
71584,123762031,736,-1.0794
68642,123786121,688,-1.6624
68642,123786121,703,-1.66034
68642,123786121,705,-1.6624
68642,123786121,736,-1.6624
68642,123786131,682,-2.0625
492,144469001,744,-0.99493
492,144469011,720,-1.00381
492,144469021,732,-1.01768
492,144469021,742,-0.99546
70858,119795011,693,-1.11589
70858,119795081,686,-1.09746
72516,120536001,542,-1.2776
72516,120536001,570,-1.2776
72516,120549001,542,-1.2776
69694,122186371,694,-0.93659
69694,122186371,713,-1.0478
69694,122186371,731,-0.9046
69694,122186431,681,-1.02026
72586,123789001,716,-0.98355
72586,123789001,726,-0.9919
72586,123789001,732,-0.97103
72586,123789001,745,-0.97748
72586,123789011,711,-1.00119
72586,123789011,732,-0.97103
72586,123789011,742,-0.97749
492,144469031,716,-1.02212
492,144469031,742,-0.99546
492,144469031,744,-0.99493
492,144469041,744,-0.99493
72516,120556001,533,-1.2776
72516,120556001,546,-1.2776
72516,120556001,553,-1.2776
72516,120556001,569,-1.2776
70279,122264111,678,-1.19715
70279,122264111,694,-1.18896
69247,122335001,682,-1.0794
72586,123789021,716,-0.98355
72586,123789021,732,-0.97103
72586,123789021,742,-0.97749
70223,135824061,708,-1.2267
2612,144480001,742,-1.15828
2612,144480011,745,-1.16288
2612,144480021,711,-1.18321
72516,120556001,570,-1.2776
71416,121354001,731,-1.1864
546,121811001,724,-1.01731
69247,122335001,718,-1.0794
69247,122335001,735,-1.0794
69247,122335011,691,-1.0794
69247,122335011,705,-1.0794
69247,122335011,718,-1.0794
69247,122335011,735,-1.0794
69019,122610001,672,-1.2767
70223,135826011,718,-1.4873
70223,135829001,718,-1.4873
70223,135829021,698,-1.4873
70223,135829061,718,-1.2267
2612,144480031,702,-1.18515
2612,144480031,716,-1.1799
2612,144480031,724,-1.17634
546,121811001,744,-0.99493
546,121811011,716,-1.02212
546,121811011,745,-1.001
546,121811021,724,-1.01731
546,121811021,745,-1.001
69019,122610001,733,-1.39957
69565,122772001,700,-1.34573
69565,122772011,672,-1.3438
69565,122772011,684,-1.34399
70223,135830091,718,-1.2267
72280,139942001,700,-2.04206
72280,139942001,684,-1.8486
72280,139942001,733,-1.92815
72280,139942011,678,-1.98059
72280,139942011,681,-1.95931
72280,139946001,731,-1.8269
72280,139946011,684,-1.8486
2612,144480061,726,-1.18278
2612,144480061,730,-1.18639
69565,122772021,700,-1.34573
72280,139946011,687,-1.81852
72280,139946011,733,-1.92815
68952,143846051,680,-1.29801
68952,143846051,687,-1.28243
68952,143846111,680,-1.32414
68952,143846111,687,-1.3125
68952,143846111,694,-1.33676
68648,119570161,737,-1.6599
69248,119571091,698,-1.6624
69248,119571091,705,-1.6624
69248,119571091,707,-1.6624
69248,119571121,705,-1.6624
69120,122019001,680,-0.76186
69120,122019001,687,-0.73464
69120,122019011,664,-0.77061
69120,122019011,672,-0.7145
69120,122019011,681,-1.07155
69120,122019011,713,-1.15657
69565,122772071,694,-1.27165
1877,123035011,711,-1.22936
1877,123035011,716,-1.38522
1877,123035011,726,-1.32423
5000063,123066001,662,-1.2795
