PRD_NBR,ORIG_RTL_PRC_AMT
104503251,24.94
105974001,22.94
105974011,22.94
106179001,16.94
106739001,1.00
106739011,1.00
106739021,1.00
107097001,14.94
107206011,14.94
107214001,14.94
107218001,14.94
114595001,1.25
114595011,1.25
114595021,1.25
114595031,1.25
117893001,6.00
117894001,3.00
117895001,4.50
117975011,10.00
118121031,12.94
118121081,12.94
118121141,12.94
118121151,12.94
118121161,12.94
118121191,12.94
118121251,12.94
118317001,5.00
119052021,34.94
119052041,34.94
119052071,34.94
119052101,34.94
119052111,34.94
119052141,34.94
119052151,34.94
119052161,34.94
119063091,12.94
119064061,12.94
119084001,14.94
119084011,14.94
119094011,14.94
119094021,14.94
119094071,14.94
119094101,14.94
119094111,14.94
119132001,29.94
119132021,29.94
119132051,29.94
119132061,29.94
119301021,34.94
119307021,29.94
119346021,26.94
119383011,29.94
119386091,34.94
119386101,34.94
119386111,34.94
119386121,34.94
119387021,34.94
119387091,34.94
119387101,34.94
119387111,34.94
119474001,8.94
119482001,8.94
119487091,24.94
119487101,24.94
119487111,24.94
119487121,24.94
119487131,24.94
119487141,24.94
119487151,24.94
119487161,24.94
119487171,24.94
119513001,9.94
119513021,9.94
119513031,9.94
119515001,9.94
119515011,9.94
119515021,9.94
119550001,19.94
119550011,19.94
119551001,19.94
119551011,19.94
119551051,19.94
119564001,7.94
119564011,7.94
119564021,7.94
119570101,16.94
119570111,16.94
119570121,16.94
119570131,16.94
119570141,16.94
119570151,16.94
119570161,16.94
119570171,16.94
119570181,16.94
119570191,16.94
119571001,19.94
119571091,19.94
119571111,19.94
119571121,19.94
119590001,34.94
119601001,15.00
119601101,15.00
119601111,15.00
119601131,15.00
119601141,15.00
119601151,15.00
119601161,15.00
119601171,15.00
119601181,15.00
119601191,15.00
119601201,15.00
119601211,15.00
119601221,15.00
119601231,15.00
119601241,15.00
119601261,15.00
119601271,15.00
119612001,19.94
119729001,29.94
119730001,36.94
119757001,34.50
119792051,34.94
119792061,34.94
119792081,34.94
119792101,34.94
119794011,34.94
119794101,34.94
119794151,34.94
119794171,34.94
119794191,34.94
119794231,34.94
119794261,34.94
119794271,34.94
119794281,34.94
119794291,34.94
119794301,34.94
119795001,34.94
119795011,34.94
119795031,34.94
119795071,34.94
119795081,34.94
119795091,34.94
119795101,34.94
119795111,34.94
119881001,24.94
119881021,24.94
120536001,14.94
120549001,14.94
120556001,14.94
121354001,20.00
121811001,16.94
121811011,16.94
121811021,16.94
121811041,16.94
121811111,16.94
121909011,20.00
122019001,26.94
122019011,29.94
122019051,26.94
122088001,5.94
122088031,5.94
122088041,5.94
122088051,5.94
122088101,5.94
122088111,5.94
122088141,5.94
122157001,14.94
122186001,29.94
122186011,29.94
122186021,29.94
122186191,29.94
122186201,29.94
122186211,29.94
122186221,29.94
122186231,29.94
122186241,29.94
122186251,29.94
122186261,29.94
122186271,29.94
122186281,29.94
122186291,29.94
122186301,29.94
122186311,29.94
122186321,29.94
122186331,29.94
122186341,29.94
122186351,29.94
122186371,29.94
122186381,29.94
122186391,29.94
122186401,29.94
122186411,29.94
122186421,29.94
122186431,29.94
122186461,29.94
122186471,29.94
122186481,29.94
