ORIG_RTL_PRC_AMT,LDR_ID,PERIOD,LDR_PRC_AMT
0.94,1,2,0.5
0.94,2,2,0.94
0.94,1,3,0.5
0.94,2,3,0.94
0.94,1,4,0.5
0.94,2,4,0.94
0.94,1,99,0.14
0.94,2,99,0.5
0.94,3,99,0.8
1,1,2,0.5
1,2,2,1
1,1,3,0.5
1,2,3,1
1,1,4,0.5
1,2,4,1
1,1,99,0.15
1,2,99,0.5
1,3,99,0.85
1.5,1,2,1
1.5,2,2,1.5
1.5,1,3,1
1.5,2,3,1.5
1.5,1,4,1
1.5,2,4,1.5
1.5,1,99,0.23
1.5,2,99,0.5
1.5,3,99,1
1.5,4,99,1.28
1.94,1,2,1
1.94,2,2,1.5
1.94,3,2,1.94
1.94,1,3,1
1.94,2,3,1.5
1.94,3,3,1.94
1.94,1,4,1
1.94,2,4,1.5
1.94,3,4,1.94
1.94,1,99,0.29
1.94,2,99,0.5
1.94,3,99,1
1.94,4,99,1.5
1.94,5,99,1.65
2,1,2,1
2,2,2,1.5
2,3,2,2
2,1,3,1
2,2,3,1.5
2,3,3,2
2,1,4,1
2,2,4,1.5
2,3,4,2
2,1,99,0.3
2,2,99,0.5
2,3,99,1
2,4,99,1.5
2,5,99,1.7
2.5,1,2,1
2.5,2,2,1.5
2.5,3,2,2
2.5,4,2,2.5
2.5,1,3,1
2.5,2,3,1.5
2.5,3,3,2
2.5,4,3,2.5
2.5,1,4,1
2.5,2,4,1.5
2.5,3,4,2
2.5,4,4,2.5
2.5,1,99,0.38
2.5,2,99,0.5
2.5,3,99,1
2.5,4,99,1.5
2.5,5,99,2
2.5,6,99,2.13
2.94,1,2,1.5
2.94,2,2,2
2.94,3,2,2.5
2.94,4,2,2.94
2.94,1,3,1.5
2.94,2,3,2
2.94,3,3,2.5
2.94,4,3,2.94
2.94,1,4,1.5
2.94,2,4,2
2.94,3,4,2.5
2.94,4,4,2.94
2.94,1,99,0.44
2.94,2,99,1
2.94,3,99,1.5
2.94,4,99,2
2.94,5,99,2.5
3,1,2,1.5
3,2,2,2
3,3,2,2.5
3,4,2,3
3,1,3,1.5
3,2,3,2
3,3,3,2.5
3,4,3,3
3,1,4,1.5
3,2,4,2
3,3,4,2.5
3,4,4,3
3,1,99,0.45
3,2,99,1
3,3,99,1.5
3,4,99,2
3,5,99,2.5
3,6,99,2.55
3.5,1,2,1.5
3.5,2,2,2
3.5,3,2,2.5
3.5,4,2,3
3.5,5,2,3.5
