PGM_GRP_ID_S,PGM_NBR,PRD_NBR
13,525608,525608001
13,856015,856015001
13,937961,937961001
13,937962,937962001
35,521062,521062001
35,521062,521062011
35,521062,521062021
35,521062,521062031
39,353089,353089001
39,353089,353089011
39,353089,353089031
39,353089,353089041
81,148090,148090251
81,148090,148090261
81,148090,148090271
81,148090,148090281
81,148090,148090301
81,148090,148090311
81,148090,148090321
81,148090,148090331
81,148090,148090341
81,148090,148090351
81,148090,148090361
85,123243,123243011
85,123243,123243091
85,123243,123243271
85,123243,123243331
85,123243,123243371
85,123243,123243401
85,123243,123243411
85,123243,123243431
85,123243,123243441
85,477648,477648001
85,477648,477648351
85,477648,477648421
197,395412,395412041
249,173306,173306001
249,173306,173306011
249,173306,173306021
261,811892,811892001
297,438290,438290001
297,438290,438290011
297,438290,438290021
315,573942,573942001
331,937925,937925001
331,937925,937925011
331,937925,937925021
331,937925,937925031
331,937925,937925041
359,344972,344972001
359,344972,344972011
371,581632,581632021
371,581632,581632031
373,369683,369683001
373,369683,369683021
373,369683,369683041
399,342139,342139001
399,342139,342139011
471,173379,173379001
477,173296,173296001
481,257353,257353001
481,257353,257353031
517,371100,371100031
517,371100,371100051
517,371100,371100061
559,476657,476657001
577,342343,342343001
577,342343,342343011
577,342343,342343021
595,173851,173851001
595,173851,173851021
595,173851,173851031
595,173851,173851041
595,173851,173851051
653,573940,573940001
703,344004,344004001
703,344004,344004011
725,482150,482150001
725,482150,482150031
725,482150,482150041
775,173238,173238001
847,173129,173129011
849,342182,342182001
849,342182,342182011
849,342182,342182021
849,342182,342182041
861,656300,656300001
861,656300,656300031
877,349274,349274001
877,349274,349274011
877,349274,349274031
943,342136,342136001
1007,173840,173840001
1007,342215,342215001
1007,342219,342219001
1211,246840,246840111
1211,246840,359569031
1285,349252,349252001
1285,349252,349252021
1285,349252,349252031
1285,349252,349252041
1285,349252,349252051
1287,369763,369763021
1287,369763,369763041
1319,369837,369837011
1331,349250,349250001
1331,349250,349250011
1331,349250,349250021
1333,343433,343433001
1347,173087,173087081
1379,173263,173263001
1409,476798,476798001
1413,656277,656277001
1435,489469,489469001
1435,489469,489469011
1435,694008,694008001
1435,694008,694008021
1435,730000,646484001
1435,730000,730000001
1435,730000,730000011
1435,978940,978940001
1455,344538,344538001
1461,344754,344754021
1513,144038,144038151
1513,144038,144038211
1513,144038,144038241
1513,144038,144038251
1513,144038,144038261
1513,144038,144038271
1513,144038,144038281
1513,144038,144038291
1513,144038,144038301
1513,144038,144038311
1513,144038,144038321
1513,144038,144038341
1513,144038,144038351
1535,525691,525691001
1535,525691,525691021
1535,525691,525691031
1535,525691,525691041
1605,369841,369841001
1641,778942,778942001
1641,778942,778942061
1723,775036,775036001
1771,478829,478829001
1797,173233,173233001
1803,173154,173154011
1809,968713,968713001
1809,968713,968713011
1809,968713,968713021
1811,634847,634847011
1811,634847,634847081
1811,634847,634847091
1813,461033,461033001
1825,775037,775037001
1827,478311,478311001
1827,478311,478311011
1839,344967,344967001
1839,344967,344967011
1839,344967,344967021
1875,173299,173299001
1875,173299,173299011
1875,173299,173299021
1875,173299,173299031
1877,123035,123035011
1895,369655,369655001
1895,369655,369655011
1895,369655,369655021
1949,897100,897100001
1953,896761,896761001
1953,896761,896761011
1953,896761,896761021
1953,896761,896761031
