PGM_GRP_ID_S,PERIOD,prc_lb,prc_ub
68675,1,5.18,12.94
68675,2,5.18,12.94
68675,3,5.18,12.94
68675,4,5.18,12.94
68675,99,1.94,11
70533,1,13.98,34.94
70533,2,13.98,34.94
70533,3,13.98,34.94
70533,4,13.98,34.94
70533,99,5.24,29.7
38887,1,5.98,14.94
38887,2,5.98,14.94
38887,3,5.98,14.94
38887,4,5.98,14.94
69041,1,13.98,34.94
69041,2,13.98,34.94
69041,3,13.98,34.94
69041,4,13.98,34.94
69041,99,5.24,29.7
70331,1,7.98,19.94
70331,2,7.98,19.94
70331,3,7.98,19.94
70331,4,7.98,19.94
69247,1,11.98,29.94
69247,2,11.98,29.94
69247,99,4.49,25.45
70275,1,13.8,34.5
70275,2,13.8,34.5
70275,99,5.18,29.33
70243,1,13.98,34.94
70243,2,13.98,34.94
70243,3,13.98,34.94
70243,4,13.98,34.94
70243,99,5.24,29.7
70279,1,2.38,5.94
70279,2,2.38,5.94
70279,3,2.38,5.94
70279,4,2.38,5.94
70279,99,0.89,5.05
69019,1,9.98,24.94
69019,2,9.98,24.94
69019,99,3.74,21.2
69565,1,3.98,9.94
69565,2,3.98,9.94
69565,3,3.98,9.94
69565,4,3.98,9.94
1877,1,5.98,14.94
1877,2,5.98,14.94
1877,3,5.98,14.94
1877,4,5.98,14.94
1877,99,2.24,12.7
5000063,1,5.18,12.94
5000063,2,5.18,12.94
5000063,3,5.18,12.94
5000063,4,5.18,12.94
85,1,3.58,8.94
85,2,3.58,8.94
85,3,3.58,8.94
85,4,3.58,8.94
85,99,1.34,7.6
72477,1,5.18,12.94
72477,2,5.18,12.94
72477,3,5.18,12.94
72477,4,5.18,12.94
72477,99,1.94,11
70323,1,13.18,32.94
70323,2,13.18,32.94
70323,3,13.18,32.94
70323,4,13.18,32.94
70323,99,4.94,28
70223,1,5.18,12.94
70223,2,5.18,12.94
70223,3,5.18,12.94
70223,4,5.18,12.94
70223,99,1.94,11
1513,1,3.18,7.94
1513,2,3.18,7.94
1513,99,1.19,6.75
1513,3,3.18,7.94
