PRD_NBR,PRC_STR_GRP_ID_S,DC_NBR,TOT_SLS_UN_QTY
118121031,700,14,366
118121031,700,17,2152
118121031,664,14,6230
118121031,664,17,14996
118121031,664,18,2251
118121031,672,14,1720
118121031,678,14,1605
118121031,678,17,840
118121031,680,14,658
118121031,680,17,652
118121031,681,14,862
118121031,681,17,2246
118121031,681,18,1945
118121031,684,17,3612
118121031,684,18,13447
118121031,686,14,7091
118121031,686,17,625
118121031,686,18,15232
118121031,687,14,496
118121031,687,17,2017
118121031,687,18,543
118121031,693,17,922
118121031,693,18,1580
118121031,694,14,2414
118121031,694,17,6845
118121031,713,14,552
118121031,713,17,2216
118121031,731,17,400
118121031,731,18,569
118121031,733,17,6115
118121081,700,14,314
118121081,700,17,1389
118121081,664,14,6030
118121081,664,17,14374
118121081,664,18,1492
118121081,672,14,1392
118121081,678,14,1442
118121081,678,17,853
118121081,680,14,637
118121081,680,17,494
118121081,681,14,865
118121081,681,17,1934
118121081,681,18,1407
118121081,684,17,3030
118121081,684,18,10792
118121081,686,14,6172
118121081,686,17,607
118121081,686,18,12187
118121081,687,14,436
118121081,687,17,1726
118121081,687,18,485
118121081,693,17,802
118121081,693,18,1256
118121081,694,14,2120
118121081,694,17,5105
118121081,713,14,399
118121081,713,17,1194
118121081,731,17,521
118121081,731,18,378
118121081,733,17,3751
118121141,700,14,221
118121141,700,17,984
118121141,664,14,3670
118121141,664,17,11700
118121141,664,18,1301
118121141,672,14,1198
118121141,678,14,1110
118121141,678,17,412
118121141,680,14,405
118121141,680,17,340
118121141,681,14,429
118121141,681,17,1492
118121141,681,18,1188
118121141,684,17,2916
118121141,684,18,8999
118121141,686,14,4923
118121141,686,17,431
118121141,686,18,10822
118121141,687,14,405
118121141,687,17,807
118121141,687,18,302
118121141,693,17,503
118121141,693,18,759
118121141,694,14,1637
118121141,694,17,5732
118121141,713,14,179
118121141,713,17,1686
118121141,731,17,393
118121141,731,18,465
118121141,733,17,5442
118121151,700,14,7
118121151,700,17,200
118121151,664,14,1850
118121151,664,17,6085
118121151,664,18,638
118121151,672,14,574
118121151,678,14,410
118121151,678,17,112
118121151,680,14,259
118121151,680,17,183
118121151,681,14,244
118121151,681,17,369
118121151,681,18,208
118121151,684,17,1047
118121151,684,18,5278
118121151,686,14,2768
118121151,686,17,192
118121151,686,18,3449
118121151,687,14,282
118121151,687,17,802
118121151,687,18,181
118121151,693,17,222
118121151,693,18,186
118121151,694,14,839
118121151,694,17,1985
118121151,713,14,12
118121151,713,17,304
118121151,731,17,224
118121151,731,18,202
118121151,733,17,1376
118121161,700,14,120
118121161,700,17,355
118121161,664,14,1186
118121161,664,17,3306
118121161,664,18,412
118121161,672,14,246
118121161,678,14,237
118121161,678,17,110
118121161,680,14,166
118121161,680,17,74
118121161,681,14,97
118121161,681,17,224
118121161,681,18,274
118121161,684,17,673
118121161,684,18,3042
118121161,686,14,1299
118121161,686,17,98
118121161,686,18,2563
118121161,687,14,100
118121161,687,17,332
118121161,687,18,108
118121161,693,17,128
118121161,693,18,286
118121161,694,14,388
118121161,694,17,1348
118121161,713,14,95
118121161,713,17,455
118121161,731,17,87
118121161,731,18,102
118121161,733,17,1248
118121191,700,14,32
118121191,700,17,135
118121191,664,14,365
118121191,664,17,1580
118121191,664,18,197
118121191,672,14,89
118121191,678,14,78
118121191,678,17,75
118121191,680,14,32
118121191,680,17,39
118121191,681,14,44
118121191,681,17,213
118121191,681,18,262
118121191,684,17,335
118121191,684,18,1460
118121191,686,14,440
118121191,686,17,73
118121191,686,18,2259
118121191,687,14,32
118121191,687,17,161
118121191,687,18,32
118121191,693,17,88
118121191,693,18,176
118121191,694,14,156
118121191,694,17,574
118121191,713,14,49
118121191,713,17,137
118121191,731,17,54
118121191,731,18,61
118121191,733,17,518
118121251,700,14,30
118121251,700,17,187
118121251,664,14,476
118121251,664,17,2733
118121251,664,18,262
118121251,672,14,127
118121251,678,14,127
118121251,678,17,115
118121251,680,14,54
118121251,680,17,62
118121251,681,14,98
118121251,681,17,323
118121251,681,18,310
118121251,684,17,503
118121251,684,18,2061
118121251,686,14,585
118121251,686,17,115
118121251,686,18,2687
118121251,687,14,58
118121251,687,17,257
118121251,687,18,63
118121251,693,17,142
118121251,693,18,210
118121251,694,14,218
118121251,694,17,965
118121251,713,14,20
118121251,713,17,215
118121251,731,17,87
118121251,731,18,88
118121251,733,17,666
119052021,700,14,21
119052021,700,17,441
119052021,664,14,2147
119052021,664,17,7108
119052021,664,18,803
119052021,672,14,356
119052021,678,14,401
119052021,678,17,214
119052021,680,14,265
119052021,680,17,170
119052021,681,14,205
119052021,681,17,623
119052021,681,18,841
119052021,684,17,1234
119052021,684,18,4838
119052021,686,14,2055
119052021,686,17,194
119052021,686,18,6159
119052021,687,14,158
119052021,687,17,763
119052021,687,18,158
119052021,693,17,170
119052021,693,18,377
119052021,694,14,583
119052021,694,17,3003
119052021,713,14,103
119052021,713,17,714
119052021,731,17,185
119052021,731,18,171
119052021,733,17,1663
119052041,700,14,37
119052041,700,17,434
119052041,664,14,1431
119052041,664,17,4131
119052041,664,18,380
119052041,672,14,229
119052041,678,14,281
119052041,678,17,159
119052041,680,14,115
119052041,680,17,84
119052041,681,14,133
119052041,681,17,358
119052041,681,18,608
119052041,684,17,926
119052041,684,18,2505
119052041,686,14,1314
119052041,686,17,111
119052041,686,18,4726
119052041,687,14,101
119052041,687,17,334
119052041,687,18,84
119052041,693,17,96
119052041,693,18,174
119052041,694,14,376
119052041,694,17,1943
119052041,713,14,64
119052041,713,17,475
119052041,731,17,80
119052041,731,18,60
119052041,733,17,1183
119052141,700,14,25
119052141,700,17,579
119052141,664,14,1434
119052141,664,17,4975
119052141,664,18,734
119052141,672,14,275
119052141,678,14,542
119052141,678,17,281
119052141,680,14,201
119052141,680,17,189
119052141,681,14,174
119052141,681,17,538
119052141,681,18,730
119052141,684,17,951
119052141,684,18,4819
119052141,686,14,1768
119052141,686,17,186
119052141,686,18,6268
119052141,687,14,133
119052141,687,17,556
119052141,687,18,164
119052141,693,17,160
119052141,693,18,447
119052141,694,14,465
119052141,694,17,2229
119052141,713,14,48
119052141,713,17,528
119052141,731,17,137
119052141,731,18,162
119052141,733,17,1069
119084001,657,14,437
119084001,662,14,71
119084001,662,17,332
119084001,663,14,15
119084001,663,17,940
119084001,663,18,37
119084001,666,14,426
119084001,666,17,50
119084001,666,18,732
119084001,667,17,8
119084001,668,17,216
119084001,669,14,83
119084001,669,17,101
119084001,669,18,41
119084001,671,14,949
119084001,671,17,502
119084001,671,18,26
119084001,673,14,29
119084001,673,17,238
119084001,675,14,92
119084001,675,17,204
119084001,675,18,57
119084001,676,14,91
119084001,676,17,174
119084001,683,17,125
119084001,683,18,37
119084001,689,14,15
119084001,689,17,61
119084001,706,14,11
119084001,706,17,862
119084001,706,18,586
119084001,727,14,99
119084001,727,17,45
119084011,657,14,385
119084011,662,14,62
119084011,662,17,417
119084011,663,14,23
119084011,663,17,1125
119084011,663,18,50
119084011,666,14,482
119084011,666,17,71
119084011,666,18,792
119084011,667,17,12
119084011,668,17,216
119084011,669,14,84
119084011,669,17,135
119084011,669,18,83
119084011,671,14,836
119084011,671,17,612
119084011,671,18,43
119084011,673,14,28
119084011,673,17,276
119084011,675,14,85
119084011,675,17,170
119084011,675,18,39
119084011,676,14,73
119084011,676,17,226
119084011,683,17,151
119084011,683,18,59
119084011,689,14,10
119084011,689,17,90
119084011,706,14,35
119084011,706,17,791
119084011,706,18,558
119084011,727,14,92
119084011,727,17,74
119094011,657,14,348
119094011,662,14,93
119094011,662,17,492
119094011,663,14,11
119094011,663,17,952
119094011,663,18,57
119094011,666,14,261
119094011,666,17,36
119094011,666,18,1048
119094011,667,17,16
119094011,668,17,344
119094011,669,14,63
119094011,669,17,150
119094011,669,18,72
119094011,671,14,733
119094011,671,17,635
119094011,671,18,48
119094011,673,14,23
119094011,673,17,383
119094011,675,14,67
119094011,675,17,181
119094011,675,18,56
119094011,676,14,72
119094011,676,17,161
119094011,683,17,101
119094011,683,18,36
119094011,689,14,12
119094011,689,17,159
119094011,706,14,41
119094011,706,17,801
119094011,706,18,729
119094011,727,14,95
119094011,727,17,71
119094021,657,14,336
119094021,662,14,71
119094021,662,17,277
119094021,663,14,16
119094021,663,17,713
119094021,663,18,36
119094021,666,14,264
119094021,666,17,36
119094021,666,18,631
119094021,667,17,7
119094021,668,17,153
119094021,669,14,65
119094021,669,17,150
119094021,669,18,55
119094021,671,14,645
119094021,671,17,380
119094021,671,18,28
119094021,673,14,15
119094021,673,17,178
119094021,675,14,51
119094021,675,17,143
119094021,675,18,29
119094021,676,14,55
119094021,676,17,119
119094021,683,17,101
119094021,683,18,24
119094021,689,14,4
119094021,689,17,80
119094021,706,14,14
119094021,706,17,619
119094021,706,18,471
119094021,727,14,104
119094021,727,17,30
119132001,700,14,153
119132001,700,17,645
119132001,664,14,3344
119132001,664,17,6426
119132001,664,18,777
119132001,672,14,871
119132001,678,14,886
119132001,678,17,282
119132001,680,14,343
119132001,680,17,292
119132001,681,14,234
119132001,681,17,458
119132001,681,18,506
119132001,684,17,2197
119132001,684,18,6988
119132001,686,14,4490
119132001,686,17,211
119132001,686,18,9675
119132001,687,14,298
119132001,687,17,567
119132001,687,18,191
119132001,693,17,330
119132001,693,18,337
119132001,694,14,766
119132001,694,17,4351
119132001,713,14,255
119132001,713,17,945
119132001,731,17,92
119132001,731,18,157
119132001,733,17,2289
119132021,700,14,34
119132021,700,17,307
119132021,664,14,1686
119132021,664,17,3817
119132021,664,18,410
119132021,672,14,323
119132021,678,14,529
119132021,678,17,201
119132021,680,14,225
119132021,680,17,156
119132021,681,14,279
119132021,681,17,476
119132021,681,18,631
119132021,684,17,1110
119132021,684,18,4538
119132021,686,14,2637
119132021,686,17,170
119132021,686,18,5454
119132021,687,14,113
119132021,687,17,673
119132021,687,18,108
119132021,693,17,188
119132021,693,18,316
119132021,694,14,409
119132021,694,17,1678
119132021,713,14,66
119132021,713,17,230
119132021,731,17,123
119132021,731,18,156
119132021,733,17,872
119132051,664,14,1216
119132051,664,17,2182
119132051,664,18,284
119132051,672,14,284
119132051,680,14,152
119132051,680,17,106
119132051,684,17,723
119132051,684,18,3293
119132051,686,14,1947
119132051,686,17,91
119132051,686,18,4028
119132051,687,14,113
119132051,687,17,420
119132051,687,18,108
119132051,694,14,272
119132051,694,17,1031
119132051,713,14,93
119132051,713,17,136
119132051,731,17,89
119132051,731,18,112
119132051,733,17,568
119132061,700,14,64
119132061,700,17,632
119132061,664,14,1530
119132061,664,17,3585
119132061,664,18,310
119132061,672,14,517
119132061,678,14,958
119132061,678,17,262
119132061,680,14,200
119132061,680,17,206
119132061,681,14,326
119132061,681,17,605
119132061,681,18,870
119132061,684,17,1232
119132061,684,18,4099
119132061,686,14,2506
119132061,686,17,141
119132061,686,18,5829
119132061,687,14,110
119132061,687,17,512
119132061,687,18,117
119132061,693,17,319
119132061,693,18,419
119132061,694,14,340
119132061,694,17,1857
119132061,713,14,110
119132061,713,17,535
119132061,731,17,95
119132061,731,18,99
119132061,733,17,1264
119387091,664,14,810
119387091,664,17,1441
119387091,664,18,137
119387091,672,14,151
119387091,680,14,69
119387091,680,17,52
119387091,684,17,722
119387091,684,18,1493
119387091,686,14,1320
119387091,686,17,40
119387091,686,18,1984
119387091,687,14,59
