PERIOD,PGM_GRP_ID_S,TGT_SELL_THRUT_RAT,MIN_SELL_THRU_RAT,MAX_SELL_THRU_RAT
2,6,0.837,0.150,0.010
3,6,0.854,0.150,0.010
4,6,0.792,0.100,0.010
2,13,0.705,0.150,0.010
3,13,0.699,0.150,0.010
4,13,0.864,0.100,0.010
2,20,0.682,0.150,0.010
3,20,0.648,0.150,0.010
4,20,0.689,0.100,0.010
99,20,0.990,0.010,0.010
2,24,0.681,0.150,0.010
99,24,0.990,0.010,0.010
2,35,0.300,0.150,0.010
3,35,0.332,0.150,0.010
4,35,0.840,0.100,0.010
2,39,0.835,0.150,0.010
3,39,0.869,0.150,0.010
4,39,0.904,0.100,0.010
99,39,0.990,0.010,0.010
2,81,0.619,0.151,0.010
3,81,0.674,0.150,0.010
4,81,0.774,0.130,0.010
99,81,0.990,0.010,0.010
2,85,0.783,0.475,0.010
3,85,0.786,0.433,0.010
4,85,0.784,0.381,0.010
99,85,0.990,0.010,0.010
2,112,0.751,0.150,0.010
3,112,0.782,0.150,0.010
4,112,0.815,0.100,0.010
99,112,0.990,0.010,0.010
2,158,0.624,0.251,0.010
3,158,0.620,0.206,0.010
4,158,0.721,0.264,0.010
99,158,0.990,0.010,0.010
2,166,0.848,0.150,0.010
3,166,0.857,0.150,0.010
4,166,0.862,0.100,0.010
99,166,0.990,0.010,0.010
2,178,0.818,0.150,0.010
3,178,0.843,0.150,0.010
4,178,0.903,0.100,0.010
99,178,0.990,0.010,0.010
2,197,0.625,0.150,0.010
3,197,0.660,0.150,0.010
4,197,0.894,0.100,0.010
2,249,0.986,0.150,0.010
3,249,0.989,0.150,0.010
4,249,0.991,0.100,0.010
99,249,0.990,0.010,0.010
2,250,0.763,0.150,0.010
3,250,0.716,0.150,0.010
4,250,0.694,0.100,0.010
99,250,0.990,0.010,0.010
2,261,0.682,0.150,0.010
3,261,0.690,0.150,0.010
4,261,0.781,0.100,0.010
2,282,0.800,0.150,0.010
3,282,0.677,0.150,0.010
4,282,0.685,0.100,0.010
99,282,0.990,0.010,0.010
2,297,0.873,0.150,0.010
3,297,0.873,0.150,0.010
99,297,0.990,0.010,0.010
2,315,0.614,0.150,0.010
3,315,0.429,0.150,0.010
4,315,0.845,0.100,0.010
2,331,0.735,0.150,0.010
3,331,0.726,0.150,0.010
4,331,0.772,0.100,0.010
99,331,0.990,0.010,0.010
2,336,0.833,0.193,0.010
3,336,0.833,0.193,0.010
99,336,0.990,0.010,0.010
2,359,0.829,0.150,0.010
3,359,0.829,0.150,0.010
99,359,0.990,0.010,0.010
2,371,0.698,0.150,0.010
3,371,0.665,0.150,0.010
4,371,0.742,0.100,0.010
2,373,0.818,0.150,0.010
3,373,0.850,0.150,0.010
4,373,0.877,0.100,0.010
99,373,0.990,0.010,0.010
2,399,0.681,0.150,0.010
2,430,0.763,0.150,0.010
3,430,0.791,0.150,0.010
4,430,0.858,0.100,0.010
99,430,0.990,0.010,0.010
2,471,0.706,0.150,0.010
3,471,0.697,0.150,0.010
4,471,0.849,0.100,0.010
99,471,0.990,0.010,0.010
2,474,0.726,0.197,0.010
3,474,0.754,0.150,0.010
4,474,0.814,0.100,0.010
99,474,0.990,0.010,0.010
2,477,0.714,0.150,0.010
2,481,0.752,0.150,0.010
3,481,0.746,0.150,0.010
4,481,0.817,0.100,0.010
99,481,0.990,0.010,0.010
2,492,0.684,0.150,0.010
3,492,0.696,0.150,0.010
4,492,0.801,0.145,0.010
99,492,0.990,0.010,0.010
