PRC_STR_GRP_ID_S,PGM_GRP_ID_S
533,373
533,512
533,562
533,746
533,802
533,849
533,877
533,1131
533,1211
533,1234
533,1292
533,1436
533,1446
533,1461
533,1535
533,1618
533,1809
533,1827
533,1854
533,1895
533,2163
533,2304
533,2351
533,2353
533,2591
533,2599
533,2633
533,2721
533,10054
533,10065
533,10066
533,10091
533,10093
533,10094
533,10095
533,10187
533,38878
533,38879
533,38902
533,38903
533,38909
533,50841
533,50883
533,50970
533,50983
533,57337
533,61176
533,65146
533,69889
533,69894
533,69898
533,69908
533,69947
533,70084
533,70085
533,70086
533,70231
533,70326
533,70327
533,70339
533,70495
533,70524
533,70627
533,70650
533,70671
533,70685
533,70806
533,70807
533,70809
533,70810
533,70812
533,70814
533,70816
533,70817
533,70818
533,70898
533,70899
533,70915
533,70982
533,70998
533,71067
533,71077
533,71191
533,71253
533,71283
533,71284
533,71475
533,71491
533,71492
533,71532
533,71544
533,71918
533,71922
533,72235
533,72236
533,72257
533,72258
533,72261
533,72262
533,72265
533,72269
533,72270
533,72271
533,72273
533,72274
533,72276
533,72506
533,72511
533,72513
533,72514
533,72515
533,72516
533,72750
533,72752
533,72756
533,72757
533,72759
533,72760
533,72766
533,72840
533,72841
533,72843
533,72849
533,72850
533,72851
536,373
536,512
536,562
536,746
536,802
536,849
536,877
536,1131
536,1211
536,1234
536,1292
536,1436
536,1446
536,1461
536,1535
536,1618
536,1809
536,1827
536,1854
536,1895
536,2163
536,2304
536,2351
536,2353
536,2591
536,2599
536,2633
536,2721
536,10054
536,10065
536,10066
536,10091
536,10093
536,10094
536,10095
536,10187
536,38878
536,38879
536,38902
536,38903
536,38909
536,50841
536,50883
536,50970
536,50983
536,57337
536,61176
536,65146
536,69889
536,69894
536,69898
536,69908
536,69947
536,70084
536,70085
536,70086
536,70231
536,70326
536,70327
536,70339
536,70495
536,70524
536,70627
536,70650
536,70671
536,70685
536,70806
536,70807
536,70809
536,70810
536,70812
536,70814
536,70816
536,70817
536,70818
536,70898
536,70899
536,70915
536,70982
536,70998
536,71067
536,71077
536,71191
536,71253
536,71283
536,71284
536,71475
536,71491
536,71492
